Transaction ID,Terminal ID,Merchant ID,Store Name,Location,Timestamp,Card Type,Masked Card No,Auth Code,Txn Amount (₹),Txn Type,Product Category,Product SKU,Product Name,Inventory ID,Response Code,Settlement Date,Status,Payment Mode,EMI Plan (months),Cashback (₹),Scheme Code,Remaining Stock
CHETXN1010,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-03 00:02:38,Mastercard,**** **** 7688,218059,425,Purchase,Pharma,PARACETAMO,Paracetamol,INV85167,0,2025-05-04,Success,Debit Card,0,0,-,5
CHETXN1011,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-16 09:30:38,Visa,**** **** 1770,999359,316,Purchase,Pharma,PARACETAMO,Paracetamol,INV36969,0,2025-05-17,Success,Credit Card,0,0,-,29
CHETXN1012,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-09 14:31:38,Visa,**** **** 8434,576670,335,Purchase,Pharma,ANTACID,Antacid,INV57927,0,2025-05-10,Success,Debit Card,0,0,-,16
CHETXN1013,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-14 02:33:38,Mastercard,**** **** 1781,238402,95,Purchase,Pharma,FACE_MASK,Face Mask,INV59637,0,2025-05-15,Success,Credit Card,0,0,-,49
CHETXN1014,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-21 20:47:38,RuPay,**** **** 4689,309356,404,Purchase,Pharma,ANTACID,Antacid,INV87229,0,2025-04-22,Success,UPI,0,0,-,40
CHETXN1015,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-05 14:19:38,RuPay,**** **** 1836,291074,113,Purchase,Pharma,FACE_MASK,Face Mask,INV18424,0,2025-05-06,Success,Credit Card,0,0,-,46
CHETXN1016,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-11 10:15:38,Visa,**** **** 8118,925480,97,Purchase,Pharma,ANTACID,Antacid,INV34649,0,2025-05-12,Success,Credit Card,0,0,-,11
CHETXN1017,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-07 23:18:38,RuPay,**** **** 4888,974772,285,Purchase,Pharma,FACE_MASK,Face Mask,INV17501,0,2025-05-08,Success,Credit Card,0,0,-,42
CHETXN1018,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 15:04:38,Visa,**** **** 7234,528070,296,Purchase,Pharma,PARACETAMO,Paracetamol,INV93851,0,2025-05-13,Success,Credit Card,0,0,-,25
CHETXN1019,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-24 04:35:38,Visa,**** **** 1821,953020,416,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV31072,0,2025-04-25,Success,UPI,0,0,-,15
CHETXN1020,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-16 19:35:38,Mastercard,**** **** 8176,109659,346,Purchase,Pharma,VITAMIN_C,Vitamin C,INV49840,0,2025-05-17,Success,Credit Card,0,0,-,8
CHETXN1021,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-04 07:19:38,Mastercard,**** **** 7982,975507,154,Purchase,Pharma,PARACETAMO,Paracetamol,INV10145,0,2025-05-05,Success,Credit Card,0,0,-,9
CHETXN1022,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-27 05:28:38,Mastercard,**** **** 9041,880334,183,Purchase,Pharma,PARACETAMO,Paracetamol,INV97704,0,2025-04-28,Success,UPI,0,0,-,24
CHETXN1023,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-07 22:21:38,RuPay,**** **** 4990,251172,395,Purchase,Pharma,FACE_MASK,Face Mask,INV58731,0,2025-05-08,Success,Debit Card,0,0,-,41
CHETXN1024,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-19 04:50:38,Visa,**** **** 9882,304415,275,Purchase,Pharma,VITAMIN_C,Vitamin C,INV43739,0,2025-04-20,Success,Credit Card,0,0,-,44
CHETXN1025,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-01 04:19:38,Mastercard,**** **** 9532,221403,264,Purchase,Pharma,FACE_MASK,Face Mask,INV24332,0,2025-05-02,Success,UPI,0,0,-,7
CHETXN1026,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-06 03:35:38,Visa,**** **** 7762,304379,194,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV71674,0,2025-05-07,Success,Debit Card,0,0,-,25
CHETXN1027,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-25 05:44:38,RuPay,**** **** 2411,636599,305,Purchase,Pharma,ANTACID,Antacid,INV38004,0,2025-04-26,Success,UPI,0,0,-,37
CHETXN1028,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-10 10:57:38,RuPay,**** **** 3742,287359,384,Purchase,Pharma,PARACETAMO,Paracetamol,INV57988,0,2025-05-11,Success,Credit Card,0,0,-,10
CHETXN1029,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-08 17:50:38,RuPay,**** **** 6357,405477,276,Purchase,Pharma,FACE_MASK,Face Mask,INV57885,0,2025-05-09,Success,UPI,0,0,-,46
CHETXN1030,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-06 04:11:38,RuPay,**** **** 3860,118377,150,Purchase,Pharma,PARACETAMO,Paracetamol,INV38742,0,2025-05-07,Success,UPI,0,0,-,42
CHETXN1031,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-20 19:32:38,Mastercard,**** **** 3792,813834,368,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV84123,0,2025-04-21,Success,UPI,0,0,-,7
CHETXN1032,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-20 09:20:38,RuPay,**** **** 5323,391819,298,Purchase,Pharma,FACE_MASK,Face Mask,INV84110,0,2025-04-21,Success,Credit Card,0,0,-,48
CHETXN1033,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-03 18:44:38,Visa,**** **** 5072,116215,170,Purchase,Pharma,ANTACID,Antacid,INV90080,0,2025-05-04,Success,Credit Card,0,0,-,30
CHETXN1034,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-07 07:12:38,Visa,**** **** 9676,319926,358,Purchase,Pharma,VITAMIN_C,Vitamin C,INV77298,0,2025-05-08,Success,Debit Card,0,0,-,10
CHETXN1035,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-26 23:16:38,RuPay,**** **** 4822,954559,421,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV99542,0,2025-04-27,Success,UPI,0,0,-,8
CHETXN1036,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-30 03:52:38,Visa,**** **** 5616,797285,475,Purchase,Pharma,PARACETAMO,Paracetamol,INV48767,0,2025-05-01,Success,UPI,0,0,-,35
CHETXN1037,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-11 12:41:38,RuPay,**** **** 5791,134125,447,Purchase,Pharma,FACE_MASK,Face Mask,INV86884,0,2025-05-12,Success,Credit Card,0,0,-,6
CHETXN1038,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-29 11:52:38,Mastercard,**** **** 9940,641998,243,Purchase,Pharma,FACE_MASK,Face Mask,INV90932,0,2025-04-30,Success,Debit Card,0,0,-,41
CHETXN1039,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-16 14:01:38,Visa,**** **** 5626,250631,314,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV50329,0,2025-05-17,Success,Debit Card,0,0,-,16
CHETXN1040,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-28 12:29:38,RuPay,**** **** 6514,674653,119,Purchase,Pharma,ANTACID,Antacid,INV87085,0,2025-04-29,Success,Credit Card,0,0,-,22
CHETXN1041,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-02 02:50:38,Mastercard,**** **** 2166,821204,295,Purchase,Pharma,VITAMIN_C,Vitamin C,INV39925,0,2025-05-03,Success,Debit Card,0,0,-,47
CHETXN1042,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-06 09:51:38,Visa,**** **** 9021,695679,252,Purchase,Pharma,ANTACID,Antacid,INV41102,0,2025-05-07,Success,Credit Card,0,0,-,32
CHETXN1043,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 17:33:38,Mastercard,**** **** 6994,393041,268,Purchase,Pharma,VITAMIN_C,Vitamin C,INV47073,0,2025-05-13,Success,Debit Card,0,0,-,19
CHETXN1044,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-24 03:58:38,Visa,**** **** 5127,992266,175,Purchase,Pharma,PARACETAMO,Paracetamol,INV81936,0,2025-04-25,Success,Credit Card,0,0,-,29
CHETXN1045,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 20:05:38,RuPay,**** **** 6482,104611,310,Purchase,Pharma,ANTACID,Antacid,INV53917,0,2025-05-13,Success,Debit Card,0,0,-,37
CHETXN1046,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-21 18:57:38,Mastercard,**** **** 1558,696333,266,Purchase,Pharma,FACE_MASK,Face Mask,INV74127,0,2025-04-22,Success,Credit Card,0,0,-,39
CHETXN1047,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-17 09:53:38,Mastercard,**** **** 4616,830414,177,Purchase,Pharma,VITAMIN_C,Vitamin C,INV10383,0,2025-05-18,Success,Debit Card,0,0,-,29
CHETXN1048,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-16 05:26:38,Mastercard,**** **** 4999,173111,468,Purchase,Pharma,VITAMIN_C,Vitamin C,INV69594,0,2025-05-17,Success,Credit Card,0,0,-,27
CHETXN1049,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-28 23:28:38,Mastercard,**** **** 7909,773520,466,Purchase,Pharma,ANTACID,Antacid,INV39945,0,2025-04-29,Success,Credit Card,0,0,-,34
CHETXN1050,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-24 15:17:38,RuPay,**** **** 8843,742675,300,Purchase,Pharma,FACE_MASK,Face Mask,INV36524,0,2025-04-25,Success,Credit Card,0,0,-,17
CHETXN1051,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-02 20:46:38,Mastercard,**** **** 4135,364417,260,Purchase,Pharma,FACE_MASK,Face Mask,INV95650,0,2025-05-03,Success,UPI,0,0,-,21
CHETXN1052,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-11 01:15:38,Visa,**** **** 1822,595245,445,Purchase,Pharma,VITAMIN_C,Vitamin C,INV30875,0,2025-05-12,Success,UPI,0,0,-,5
CHETXN1053,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-15 13:43:38,RuPay,**** **** 6484,401881,363,Purchase,Pharma,ANTACID,Antacid,INV77183,0,2025-05-16,Success,Debit Card,0,0,-,32
CHETXN1054,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-19 11:05:38,Visa,**** **** 2234,718960,313,Purchase,Pharma,PARACETAMO,Paracetamol,INV16652,0,2025-04-20,Success,Debit Card,0,0,-,32
CHETXN1055,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-26 21:13:38,RuPay,**** **** 6011,914447,405,Purchase,Pharma,ANTACID,Antacid,INV20323,0,2025-04-27,Success,Debit Card,0,0,-,48
CHETXN1056,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 07:51:38,Mastercard,**** **** 2389,349662,422,Purchase,Pharma,PARACETAMO,Paracetamol,INV51360,0,2025-05-13,Success,UPI,0,0,-,9
CHETXN1057,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-14 12:55:38,Visa,**** **** 4359,995525,445,Purchase,Pharma,FACE_MASK,Face Mask,INV45055,0,2025-05-15,Success,Debit Card,0,0,-,22
CHETXN1058,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-23 15:59:38,Mastercard,**** **** 8702,248909,281,Purchase,Pharma,FACE_MASK,Face Mask,INV47406,0,2025-04-24,Success,Credit Card,0,0,-,19
CHETXN1059,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-28 00:29:38,Mastercard,**** **** 6752,730804,263,Purchase,Pharma,PARACETAMO,Paracetamol,INV93363,0,2025-04-29,Success,Debit Card,0,0,-,6
CHETXN1060,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-28 15:33:38,RuPay,**** **** 5887,213531,211,Purchase,Pharma,VITAMIN_C,Vitamin C,INV95400,0,2025-04-29,Success,Credit Card,0,0,-,14
CHETXN1061,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-16 15:45:38,Visa,**** **** 1197,139638,329,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV73712,0,2025-05-17,Success,UPI,0,0,-,25
CHETXN1062,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-22 01:35:38,Mastercard,**** **** 5449,571088,369,Purchase,Pharma,FACE_MASK,Face Mask,INV22828,0,2025-04-23,Success,UPI,0,0,-,16
CHETXN1063,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-30 02:19:38,Visa,**** **** 7095,320363,384,Purchase,Pharma,VITAMIN_C,Vitamin C,INV99410,0,2025-05-01,Success,Debit Card,0,0,-,17
CHETXN1064,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-08 01:57:38,Mastercard,**** **** 3296,479982,383,Purchase,Pharma,ANTACID,Antacid,INV92820,0,2025-05-09,Success,Credit Card,0,0,-,17
CHETXN1065,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-03 03:51:38,RuPay,**** **** 1143,702254,182,Purchase,Pharma,PARACETAMO,Paracetamol,INV95847,0,2025-05-04,Success,Debit Card,0,0,-,5
CHETXN1066,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-08 14:41:38,Mastercard,**** **** 5114,761326,397,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV92341,0,2025-05-09,Success,UPI,0,0,-,32
CHETXN1067,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-15 11:51:38,Mastercard,**** **** 5480,320651,411,Purchase,Pharma,PARACETAMO,Paracetamol,INV82857,0,2025-05-16,Success,Debit Card,0,0,-,8
CHETXN1068,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-21 01:19:38,Visa,**** **** 8640,819912,253,Purchase,Pharma,ANTACID,Antacid,INV18009,0,2025-04-22,Success,Credit Card,0,0,-,5
CHETXN1069,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-21 17:48:38,Visa,**** **** 8462,224366,266,Purchase,Pharma,VITAMIN_C,Vitamin C,INV54748,0,2025-04-22,Success,UPI,0,0,-,44
CHETXN1070,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-10 07:23:38,Mastercard,**** **** 2265,863072,238,Purchase,Pharma,VITAMIN_C,Vitamin C,INV49935,0,2025-05-11,Success,Debit Card,0,0,-,22
CHETXN1071,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-07 06:40:38,Visa,**** **** 4745,945251,414,Purchase,Pharma,FACE_MASK,Face Mask,INV76215,0,2025-05-08,Success,Debit Card,0,0,-,31
CHETXN1072,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-15 02:46:38,Mastercard,**** **** 1261,585767,344,Purchase,Pharma,ANTACID,Antacid,INV53843,0,2025-05-16,Success,Debit Card,0,0,-,30
CHETXN1073,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-11 08:37:38,RuPay,**** **** 9883,692907,155,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV67002,0,2025-05-12,Success,UPI,0,0,-,45
CHETXN1074,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-03 16:06:38,Visa,**** **** 7126,983083,460,Purchase,Pharma,PARACETAMO,Paracetamol,INV86444,0,2025-05-04,Success,Debit Card,0,0,-,19
CHETXN1075,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 19:48:38,RuPay,**** **** 9585,978040,100,Purchase,Pharma,ANTACID,Antacid,INV55679,0,2025-05-13,Success,Credit Card,0,0,-,50
CHETXN1076,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-26 06:01:38,RuPay,**** **** 8474,717097,53,Purchase,Pharma,ANTACID,Antacid,INV69551,0,2025-04-27,Success,UPI,0,0,-,45
CHETXN1077,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-26 21:27:38,Mastercard,**** **** 1353,143024,219,Purchase,Pharma,VITAMIN_C,Vitamin C,INV88058,0,2025-04-27,Success,UPI,0,0,-,33
CHETXN1078,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-13 07:57:38,RuPay,**** **** 9488,336754,327,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV44680,0,2025-05-14,Success,Credit Card,0,0,-,43
CHETXN1079,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-29 23:00:38,RuPay,**** **** 1686,184863,88,Purchase,Pharma,ANTACID,Antacid,INV81148,0,2025-04-30,Success,Credit Card,0,0,-,28
CHETXN1080,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-30 21:16:38,Visa,**** **** 3156,730836,367,Purchase,Pharma,PARACETAMO,Paracetamol,INV69843,0,2025-05-01,Success,UPI,0,0,-,30
CHETXN1081,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-17 12:40:38,Mastercard,**** **** 4792,366852,475,Purchase,Pharma,ANTACID,Antacid,INV14232,0,2025-05-18,Success,Debit Card,0,0,-,40
CHETXN1082,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-07 22:43:38,RuPay,**** **** 6010,656617,218,Purchase,Pharma,PARACETAMO,Paracetamol,INV62343,0,2025-05-08,Success,Debit Card,0,0,-,42
CHETXN1083,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-23 10:57:38,Visa,**** **** 6472,417015,500,Purchase,Pharma,FACE_MASK,Face Mask,INV64838,0,2025-04-24,Success,Credit Card,0,0,-,26
CHETXN1084,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-13 16:02:38,RuPay,**** **** 6525,290433,332,Purchase,Pharma,VITAMIN_C,Vitamin C,INV33235,0,2025-05-14,Success,Credit Card,0,0,-,39
CHETXN1085,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 22:31:38,Mastercard,**** **** 3284,313236,286,Purchase,Pharma,ANTACID,Antacid,INV55234,0,2025-05-13,Success,Debit Card,0,0,-,49
CHETXN1086,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-22 06:10:38,Visa,**** **** 5096,786153,355,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV61095,0,2025-04-23,Success,Debit Card,0,0,-,13
CHETXN1087,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-19 10:40:38,Visa,**** **** 9480,660597,198,Purchase,Pharma,VITAMIN_C,Vitamin C,INV92122,0,2025-04-20,Success,UPI,0,0,-,39
CHETXN1088,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-07 19:09:38,RuPay,**** **** 4092,483250,397,Purchase,Pharma,ANTACID,Antacid,INV71824,0,2025-05-08,Success,Debit Card,0,0,-,41
CHETXN1089,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-02 15:34:38,RuPay,**** **** 2576,492181,425,Purchase,Pharma,VITAMIN_C,Vitamin C,INV70799,0,2025-05-03,Success,Credit Card,0,0,-,7
CHETXN1090,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 13:29:38,RuPay,**** **** 8122,271636,149,Purchase,Pharma,VITAMIN_C,Vitamin C,INV67656,0,2025-05-13,Success,Credit Card,0,0,-,6
CHETXN1091,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-24 14:05:38,Visa,**** **** 7109,597539,421,Purchase,Pharma,VITAMIN_C,Vitamin C,INV72768,0,2025-04-25,Success,UPI,0,0,-,26
CHETXN1092,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-02 19:40:38,Mastercard,**** **** 3853,295492,399,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV63954,0,2025-05-03,Success,UPI,0,0,-,17
CHETXN1093,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-09 01:12:38,Visa,**** **** 3579,616022,434,Purchase,Pharma,VITAMIN_C,Vitamin C,INV39322,0,2025-05-10,Success,UPI,0,0,-,7
CHETXN1094,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-13 22:30:38,Visa,**** **** 7922,297232,497,Purchase,Pharma,ANTACID,Antacid,INV88478,0,2025-05-14,Success,UPI,0,0,-,50
CHETXN1095,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-09 23:32:38,Mastercard,**** **** 5568,462574,323,Purchase,Pharma,ANTACID,Antacid,INV22293,0,2025-05-10,Success,Debit Card,0,0,-,45
CHETXN1096,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-07 15:37:38,RuPay,**** **** 3853,513079,331,Purchase,Pharma,FACE_MASK,Face Mask,INV30741,0,2025-05-08,Success,Debit Card,0,0,-,20
CHETXN1097,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-02 10:27:38,Mastercard,**** **** 5737,781817,467,Purchase,Pharma,FACE_MASK,Face Mask,INV58140,0,2025-05-03,Success,Credit Card,0,0,-,50
CHETXN1098,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-09 03:31:38,RuPay,**** **** 5916,499875,306,Purchase,Pharma,PARACETAMO,Paracetamol,INV80384,0,2025-05-10,Success,UPI,0,0,-,11
CHETXN1099,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-04 08:47:38,Mastercard,**** **** 9545,560800,383,Purchase,Pharma,FACE_MASK,Face Mask,INV56859,0,2025-05-05,Success,Credit Card,0,0,-,31
CHETXN1100,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-16 00:30:38,RuPay,**** **** 2845,450738,106,Purchase,Pharma,PARACETAMO,Paracetamol,INV44758,0,2025-05-17,Success,Credit Card,0,0,-,42
CHETXN1101,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-06 21:43:38,Mastercard,**** **** 8058,766998,285,Purchase,Pharma,ANTACID,Antacid,INV40204,0,2025-05-07,Success,Credit Card,0,0,-,48
CHETXN1102,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-21 15:08:38,Mastercard,**** **** 7394,735417,381,Purchase,Pharma,VITAMIN_C,Vitamin C,INV92516,0,2025-04-22,Success,Debit Card,0,0,-,45
CHETXN1103,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-04 05:00:38,RuPay,**** **** 3002,859638,434,Purchase,Pharma,VITAMIN_C,Vitamin C,INV78326,0,2025-05-05,Success,Debit Card,0,0,-,29
CHETXN1104,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-09 09:06:38,Visa,**** **** 5347,820423,431,Purchase,Pharma,ANTACID,Antacid,INV29963,0,2025-05-10,Success,UPI,0,0,-,23
CHETXN1105,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-23 03:54:38,Mastercard,**** **** 1333,985894,272,Purchase,Pharma,FACE_MASK,Face Mask,INV35303,0,2025-04-24,Success,UPI,0,0,-,28
CHETXN1106,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-23 06:27:38,Mastercard,**** **** 3086,698650,84,Purchase,Pharma,FACE_MASK,Face Mask,INV89548,0,2025-04-24,Success,UPI,0,0,-,46
CHETXN1107,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-03 03:22:38,RuPay,**** **** 4128,162397,465,Purchase,Pharma,PARACETAMO,Paracetamol,INV64612,0,2025-05-04,Success,Credit Card,0,0,-,24
CHETXN1108,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-29 21:35:38,Visa,**** **** 6969,979901,127,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV84408,0,2025-04-30,Success,Credit Card,0,0,-,39
